DeviceTag: Xsens DOT6E,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-12 13:10:39.562,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
36949401,0.4450,-0.0148,-0.0171,-0.8953,0.0049,0.0154,0.0701,0
36949734,0.4450,-0.0148,-0.0171,-0.8953,-0.0015,-0.0024,0.0908,0
36950067,0.4450,-0.0148,-0.0171,-0.8953,0.0067,-0.0119,0.0867,0
36950401,0.4450,-0.0148,-0.0171,-0.8952,0.0049,0.0096,0.0829,0
36950734,0.4450,-0.0149,-0.0171,-0.8952,-0.0009,-0.0001,0.0840,0
36951067,0.4450,-0.0149,-0.0171,-0.8952,-0.0074,-0.0002,0.0841,0
36951401,0.4450,-0.0149,-0.0171,-0.8953,0.0130,-0.0083,0.0748,0
36951734,0.4450,-0.0148,-0.0171,-0.8953,0.0028,0.0004,0.0819,0
36952067,0.4450,-0.0148,-0.0171,-0.8953,0.0066,0.0054,0.0804,0
36952401,0.4450,-0.0148,-0.0171,-0.8953,-0.0050,-0.0128,0.0820,0
36952734,0.4449,-0.0148,-0.0171,-0.8953,-0.0044,0.0141,0.0794,0
36953067,0.4449,-0.0148,-0.0171,-0.8953,-0.0065,0.0045,0.0840,0
36953401,0.4450,-0.0148,-0.0171,-0.8953,-0.0087,0.0171,0.0827,0
36953734,0.4450,-0.0148,-0.0171,-0.8953,-0.0034,0.0101,0.0804,0
36954067,0.4450,-0.0148,-0.0171,-0.8952,-0.0020,-0.0030,0.0880,0
36954401,0.4450,-0.0148,-0.0171,-0.8952,0.0008,-0.0087,0.0914,0
36954734,0.4450,-0.0148,-0.0171,-0.8952,-0.0095,-0.0073,0.0849,0
36955067,0.4450,-0.0148,-0.0171,-0.8953,-0.0042,0.0055,0.0881,0
36955401,0.4450,-0.0148,-0.0171,-0.8953,-0.0020,0.0063,0.0886,0
36955734,0.4450,-0.0148,-0.0172,-0.8953,0.0009,0.0083,0.0831,0
36956067,0.4450,-0.0148,-0.0171,-0.8953,-0.0144,-0.0078,0.0750,0
36956401,0.4450,-0.0148,-0.0172,-0.8953,-0.0026,0.0046,0.0782,0
36956734,0.4449,-0.0148,-0.0172,-0.8953,0.0072,0.0132,0.0851,0
36957067,0.4449,-0.0148,-0.0171,-0.8953,-0.0096,-0.0009,0.0898,0
36957401,0.4449,-0.0148,-0.0171,-0.8953,-0.0093,-0.0118,0.0735,0
36957734,0.4449,-0.0148,-0.0171,-0.8953,-0.0092,0.0014,0.0833,0
36958067,0.4449,-0.0148,-0.0171,-0.8953,0.0079,-0.0059,0.0862,0
36958401,0.4449,-0.0148,-0.0171,-0.8953,-0.0017,-0.0008,0.0843,0
36958734,0.4449,-0.0148,-0.0172,-0.8953,-0.0008,-0.0010,0.0875,0
36959067,0.4449,-0.0148,-0.0172,-0.8953,-0.0019,0.0041,0.0873,0
36959401,0.4449,-0.0148,-0.0172,-0.8953,-0.0082,0.0075,0.0792,0
36959734,0.4449,-0.0148,-0.0172,-0.8953,-0.0109,0.0063,0.0900,0
36960067,0.4449,-0.0148,-0.0172,-0.8953,-0.0051,0.0028,0.0781,0
36960401,0.4449,-0.0148,-0.0172,-0.8953,-0.0041,-0.0052,0.0799,0
36960734,0.4449,-0.0148,-0.0172,-0.8953,0.0086,0.0147,0.0789,0
36961067,0.4449,-0.0148,-0.0172,-0.8953,-0.0096,0.0053,0.0758,0
36961401,0.4449,-0.0148,-0.0172,-0.8953,-0.0014,-0.0045,0.0875,0
36961734,0.4449,-0.0148,-0.0172,-0.8953,-0.0081,0.0084,0.0816,0
36962067,0.4449,-0.0148,-0.0172,-0.8953,-0.0120,0.0125,0.0906,0
